"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 18 23:19:08 MSK 2023","Sun Jun 18 23:19:09 MSK 2023","457","","net.paf.test_for_user.LoginUserTest","","net.paf.test_for_user.LoginUserTest","userWithWrongEmailAddressNotLogin","Р›РѕРіРёРЅ СЃ РЅРµРІРµСЂРЅС‹Рј Р»РѕРіРёРЅРѕРј",""
"passed","Sun Jun 18 23:18:59 MSK 2023","Sun Jun 18 23:19:01 MSK 2023","1638","","net.paf.test_for_order.CreateOrderTest","","net.paf.test_for_order.CreateOrderTest","userAuthorizedOrderSuccessfullyCreated","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° РїРѕР»СЊР·РѕРІР°С‚РµР»РµРј СЃ Р°РІС‚РѕСЂРёР·Р°С†РёРµР№",""
"failed","Sun Jun 18 23:18:56 MSK 2023","Sun Jun 18 23:18:58 MSK 2023","1417","","net.paf.test_for_order.CreateOrderTest","","net.paf.test_for_order.CreateOrderTest","userNotAuthorizedOrderNotCreated","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° РїРѕР»СЊР·РѕРІР°С‚РµР»РµРј Р±РµР· Р°РІС‚РѕСЂРёР·Р°С†РёРё",""
"passed","Sun Jun 18 23:18:52 MSK 2023","Sun Jun 18 23:18:56 MSK 2023","4401","","net.paf.test_for_order.CreateOrderTest","","net.paf.test_for_order.CreateOrderTest","orderWithoutIngredientsNotCreated","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° СЃ РёРЅРіСЂРµРґРёРµРЅС‚Р°РјРё",""
"passed","Sun Jun 18 23:19:06 MSK 2023","Sun Jun 18 23:19:07 MSK 2023","422","","net.paf.test_for_user.CreateUserWithoutRequiredFieldsTest","","net.paf.test_for_user.CreateUserWithoutRequiredFieldsTest","userWithoutEmailNotCreated","РЎРѕР·РґР°РЅРёРµ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РїРѕС‡С‚С‹",""
"passed","Sun Jun 18 23:19:04 MSK 2023","Sun Jun 18 23:19:05 MSK 2023","1116","","net.paf.test_for_user.CreateRegisteredEarlierUserTest","","net.paf.test_for_user.CreateRegisteredEarlierUserTest","userNotCreated","РЎРѕР·РґР°РЅРёРµ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ, РєРѕС‚РѕСЂС‹Р№ СѓР¶Рµ Р·Р°СЂРµРіРёСЃС‚СЂРёСЂРѕРІР°РЅ",""
"passed","Sun Jun 18 23:19:05 MSK 2023","Sun Jun 18 23:19:06 MSK 2023","1135","","net.paf.test_for_user.CreateUniqueUserTest","","net.paf.test_for_user.CreateUniqueUserTest","userCreatedSuccessfully","РЎРѕР·РґР°РЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕРіРѕ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ",""
"passed","Sun Jun 18 23:18:58 MSK 2023","Sun Jun 18 23:18:59 MSK 2023","1320","","net.paf.test_for_order.CreateOrderTest","","net.paf.test_for_order.CreateOrderTest","orderWithWrongIngredientHashNotCreated","РЎРѕР·РґР°РЅРёРµ Р·Р°РєР°Р·Р° СЃ РЅРµРІРµСЂРЅС‹Рј С…РµС€РµРј РёРЅРіСЂРµРґРёРµРЅС‚РѕРІ",""
"passed","Sun Jun 18 23:19:08 MSK 2023","Sun Jun 18 23:19:08 MSK 2023","873","","net.paf.test_for_user.LoginUserTest","","net.paf.test_for_user.LoginUserTest","userCanBeLoggedIn","Р›РѕРіРёРЅ РїРѕРґ СЃСѓС‰РµСЃС‚РІСѓСЋС‰РёРј РїРѕР»СЊР·РѕРІР°С‚РµР»РµРј",""
"passed","Sun Jun 18 23:19:02 MSK 2023","Sun Jun 18 23:19:03 MSK 2023","1056","","net.paf.test_for_order.GetOrdersTest","","net.paf.test_for_order.GetOrdersTest","getUnauthorizedUserOrders","РџРѕР»СѓС‡РµРЅРёРµ Р·Р°РєР°Р·РѕРІ РЅРµР°РІС‚РѕСЂРёР·РѕРІР°РЅРЅРѕРіРѕ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ",""
"passed","Sun Jun 18 23:19:09 MSK 2023","Sun Jun 18 23:19:09 MSK 2023","518","","net.paf.test_for_user.LoginUserTest","","net.paf.test_for_user.LoginUserTest","userWithWrongPasswordNotLogin","Р›РѕРіРёРЅ СЃ РЅРµРІРµСЂРЅС‹Рј РїР°СЂРѕР»РµРј",""
"passed","Sun Jun 18 23:19:03 MSK 2023","Sun Jun 18 23:19:04 MSK 2023","1234","","net.paf.test_for_order.GetOrdersTest","","net.paf.test_for_order.GetOrdersTest","getAuthorizedUserOrders","РџРѕР»СѓС‡РµРЅРёРµ Р·Р°РєР°Р·РѕРІ Р°РІС‚РѕСЂРёР·РѕРІР°РЅРЅРѕРіРѕ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ",""
"passed","Sun Jun 18 23:19:07 MSK 2023","Sun Jun 18 23:19:08 MSK 2023","441","","net.paf.test_for_user.CreateUserWithoutRequiredFieldsTest","","net.paf.test_for_user.CreateUserWithoutRequiredFieldsTest","userWithoutPasswordNotCreated","РЎРѕР·РґР°РЅРёРµ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РїР°СЂРѕР»СЏ",""
"passed","Sun Jun 18 23:19:01 MSK 2023","Sun Jun 18 23:19:02 MSK 2023","1166","","net.paf.test_for_order.GetOrdersTest","","net.paf.test_for_order.GetOrdersTest","getAllOrders","РџРѕР»СѓС‡РµРЅРёРµ РІСЃРµС… Р·Р°РєР°Р·РѕРІ",""
"passed","Sun Jun 18 23:19:07 MSK 2023","Sun Jun 18 23:19:07 MSK 2023","463","","net.paf.test_for_user.CreateUserWithoutRequiredFieldsTest","","net.paf.test_for_user.CreateUserWithoutRequiredFieldsTest","userWithoutNameNotCreated","РЎРѕР·РґР°РЅРёРµ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ Р±РµР· РёРјРµРЅРё",""
